,name,pos,salary,prediction
365,Leonard Taylor,TE,2500,0.0
366,Elijah Higgins,TE,2500,0.0
367,Hendon Hooker,QB,4000,0.0
368,Jaren Hall,QB,4600,0.0
369,Julian Hill,TE,2500,0.0
370,Jordan Mims,RB,4000,0.0
371,Justin Shorter,WR,3000,0.0
372,Tanner McKee,QB,4000,0.0
373,Ben Sims,TE,2500,0.0
374,Jake Haener,QB,4000,0.0
375,Zonovan Knight,RB,4000,0.0
376,A.T. Perry,WR,3000,0.0
377,Michael Woods,WR,3000,0.0
378,Malik Knowles,WR,3000,0.0
379,Mike White,QB,4700,0.0
380,Ronnie Rivers,RB,4400,0.0
381,Jacoby Brissett,QB,4600,0.0
382,Marcedes Lewis,TE,2500,0.0
383,PJ Walker,QB,4800,0.0
384,Jarrett Stidham,QB,4600,0.0
385,Geoff Swaim,TE,2500,0.0
386,Equanimeous St. Brown,WR,3000,0.0
387,Darrell Daniels,TE,2500,0.0
388,Keith Kirkwood,WR,3000,0.0
389,Jameis Winston,QB,4700,0.0
390,Anthony McFarland,RB,4000,0.0
391,C.J. Ham,RB,4000,0.0
392,River Cracraft,WR,3000,0.0
393,Charlie Woerner,TE,2500,0.0
394,Brandon Dillon,TE,2500,0.0
395,Tyrod Taylor,QB,5100,0.0
396,Chris Manhertz,TE,2500,0.0
397,Juwan Johnson,TE,3000,0.0
398,Michael Burton,RB,4000,0.0
399,Keith Smith,RB,4000,0.0
400,Austin Walter,RB,4000,0.0
401,Khari Blasingame,RB,4000,0.16
402,Ashton Dulin,WR,3000,0.0
403,Joe Reed,WR,3000,0.0
404,Nate Sudfeld,QB,4000,0.0
405,Jason Cabinda,RB,4000,0.0
406,Logan Woodside,QB,4000,0.0
407,Dwayne Washington,RB,4000,0.0
408,Brian Hoyer,QB,4900,0.0
409,MyCole Pruitt,TE,2500,0.0
410,Austin Trammell,WR,3000,0.0
