Player,Team,Pos,Injury,Status,Est. Return
Virgil Green,FA,TE,Ankle,Questionable,Subscribers Only
Raven Greene,FA,S,Undisclosed,Questionable,Subscribers Only
Ethan Greenidge,ATL,OT,Undisclosed,IR,Subscribers Only
Dre Greenlaw,SF,LB,Ankle,Questionable,Subscribers Only
Everson Griffen,FA,DE,Personal,Questionable,Subscribers Only
Jonas Griffith,DEN,LB,Knee - ACL,IR,Subscribers Only
Trevon Grimes,FA,WR,Undisclosed,Questionable,Subscribers Only
Ryan Groy,FA,OG,Triceps,Questionable,Subscribers Only
Javelin Guidry,NYJ,CB,Knee,IR,Subscribers Only
Jalen Guyton,LAC,WR,Knee - ACL,PUP-R,Subscribers Only
Jake Haener,NO,QB,Suspension,Reserve-Sus,Subscribers Only
Troy Hairston,HOU,FB,Back,IR,Subscribers Only
Grant Haley,FA,CB,Knee - ACL,Questionable,Subscribers Only
Emanuel Hall,FA,WR,Achilles,Questionable,Subscribers Only
Kemon Hall,FA,CB,Undisclosed,Questionable,Subscribers Only
Maalik Hall,NYJ,LB,Undisclosed,IR,Subscribers Only
Terez Hall,NE,LB,Undisclosed,IR,Subscribers Only
DaeSean Hamilton,FA,WR,Undisclosed,Questionable,Subscribers Only
DaVon Hamilton,JAX,DT,Back,IR,Subscribers Only
Devery Hamilton,FA,OT,Lower Leg,Questionable,Subscribers Only
Kyle Hamilton,BAL,S,Back,Questionable,Subscribers Only
KJ Hamler,FA,WR,Pectoral,Questionable,Subscribers Only
Malik Hamm,BAL,LB,Ankle,IR,Subscribers Only
Saquan Hampton,FA,S,Achilles,Questionable,Subscribers Only
Jake Hanson,FA,C,Shin,Questionable,Subscribers Only
Tre Harbison,FA,RB,Concussion,Questionable,Subscribers Only
Clark Harris,FA,C,Biceps,Questionable,Subscribers Only
Darius Harris,FA,LB,Undisclosed,Questionable,Subscribers Only
Dwayne Harris,FA,WR,Triceps,Questionable,Subscribers Only
Anton Harrison,JAX,OT,Ankle,Questionable,Subscribers Only
Penny Hart,ATL,WR,Concussion,IR,Subscribers Only
Montre Hartage,FA,S,Undisclosed,Questionable,Subscribers Only
Kolby Harvell-Peel,FA,S,Hamstring,Questionable,Subscribers Only
Pressley Harvin,PIT,P,Hamstring,Questionable,Subscribers Only
Hassan Haskins,TEN,RB,Undisclosed,IR,Subscribers Only
J.C. Hassenauer,NYG,C,Triceps,IR,Subscribers Only
Broughton Hatcher,FA,C,Undisclosed,Questionable,Subscribers Only
Jerald Hawkins,FA,OT,Undisclosed,Questionable,Subscribers Only
Tayler Hawkins,FA,S,Hand,Questionable,Subscribers Only
Daelin Hayes,FA,LB,Undisclosed,Questionable,Subscribers Only
Marquis Haynes,CAR,LB,Back,IR,Subscribers Only
Phil Haynes,SEA,OG,Calf,Questionable,Subscribers Only
Joel Heath,FA,DE,Knee - ACL,Questionable,Subscribers Only
Charlie Heck,HOU,OT,Foot,PUP-R,Subscribers Only
Matt Hembrough,ARI,C,Back,IR,Subscribers Only
Xavier Henderson,FA,S,Undisclosed,Questionable,Subscribers Only
Matt Hennessy,ATL,OG,Knee,IR,Subscribers Only
Ra'Shaun Henry,FA,WR,Undisclosed,Questionable,Subscribers Only
Chandon Herring,FA,OG,Undisclosed,Questionable,Subscribers Only
Cameron Heyward,PIT,DE,Groin,IR,Subscribers Only
Tyler Higbee,LAR,TE,Achilles,Questionable,Subscribers Only
Brandon Hill,FA,S,Undisclosed,Out,Subscribers Only
Justice Hill,BAL,RB,Foot,Questionable,Subscribers Only
Dontrell Hilliard,FA,RB,Neck,Questionable,Subscribers Only
Nyheim Hines,BUF,RB,Knee,NFI-R,Subscribers Only
Cooper Hodges,JAX,OT,Knee,IR,Subscribers Only
Will Holden,FA,OT,Calf,Questionable,Subscribers Only
Cody Hollister,FA,WR,Neck,Questionable,Subscribers Only
Jacob Hollister,FA,TE,Undisclosed,Questionable,Subscribers Only
Elijah Holyfield,FA,RB,Knee,Questionable,Subscribers Only
Travis Homer,CHI,RB,Ankle,Questionable,Subscribers Only
Hendon Hooker,DET,QB,Knee - ACL,NFI-R,Subscribers Only
DeAndre Hopkins,TEN,WR,Ankle,Questionable,Subscribers Only
Jaycee Horn,CAR,CB,Hamstring,IR,Subscribers Only
James Houston,DET,LB,Ankle,IR,Subscribers Only
Gabriel Houy,FA,OT,Undisclosed,Questionable,Subscribers Only
Tytus Howard,HOU,OT,Hand,IR,Subscribers Only
Jordan Howden,NO,S,Finger,Questionable,Subscribers Only
Hayden Howerton,FA,OG,Undisclosed,Out,Subscribers Only
Jonathan Hubbard,FA,OT,Undisclosed,Questionable,Subscribers Only
Rodney Hudson,FA,C,Knee,Questionable,Subscribers Only
Evan Hull,IND,RB,Knee,IR,Subscribers Only
Marlon Humphrey,BAL,CB,Foot,Questionable,Subscribers Only
Kareem Hunt,CLE,RB,Ribs,Questionable,Subscribers Only
Caleb Huntley,FA,RB,Achilles,Questionable,Subscribers Only
Jalen Hurd,FA,WR,Undisclosed,Reserve-Ret,Subscribers Only
Allen Hurns,FA,WR,Wrist,Questionable,Subscribers Only
John Hurst,FA,WR,Ankle,Questionable,Subscribers Only
Ishmael Hyman,FA,WR,Undisclosed,Questionable,Subscribers Only
Mohamed Ibrahim,FA,RB,Undisclosed,Questionable,Subscribers Only
George Iloka,FA,S,Knee - ACL,Questionable,Subscribers Only
Mark Ingram,FA,RB,Knee - MCL,Questionable,Subscribers Only
Matt Ioannidis,FA,DT,Back,Questionable,Subscribers Only
Isaiah Irving,FA,LB,Back,Questionable,Subscribers Only
Thomas Ives,FA,WR,Undisclosed,Questionable,Subscribers Only
Myles Jack,PHI,LB,Personal,Reserve-Ret,Subscribers Only
Alaric Jackson,LAR,OT,Hamstring,Questionable,Subscribers Only
Branden Jackson,FA,DE,Spine,Questionable,Subscribers Only
Eddie Jackson,CHI,S,Foot,Questionable,Subscribers Only
Jonah Jackson,DET,OG,Thigh,Questionable,Subscribers Only
Justin Jackson,FA,RB,Undisclosed,Reserve-Ret,Subscribers Only
Kearis Jackson,TEN,WR,Ankle,IR,Subscribers Only
Warren Jackson,FA,WR,Undisclosed,Questionable,Subscribers Only
