Player,Team,Pos,Injury,Status
Justice Hill,BAL,RB,Achilles,Reserve-Covid-19
Troy Hill,CLE,CB,Knee,Out
Justin Hilliard,NYG,LB,Ankle,IR
T.J. Hockenson,DET,TE,Thumb,IR
Jared Hocker,FA,OG,Illness,Out
Cody Hollister,FA,WR,Illness,Out
Jacob Hollister,JAX,TE,Illness,Reserve-Covid-19
Ka'dar Hollman,FA,CB,Illness,Out
Darnay Holmes,NYG,CB,Ribs,IR
J.P. Holtz,CHI,TE,Personal,Doubtful
DeAndre Hopkins,ARI,WR,Knee - MCL,IR
Jaycee Horn,CAR,CB,Foot,Reserve-Covid-19
Jesper Horsted,CHI,TE,Illness,Reserve-Covid-19
Phil Hoskins,CAR,DT,Illness,Reserve-Covid-19
Deandre Houston-Carson,CHI,S,Forearm,IR
Tytus Howard,HOU,OG,Undisclosed,Reserve-Covid-19
Jordan Howard,PHI,RB,Neck,Questionable
Chris Hubbard,CLE,OT,Triceps,IR
Wyatt Hubert,CIN,DE,Pectoral,NFI-R
Khaleke Hudson,WAS,LB,Ankle,IR-R
Tommy Hudson,TEN,TE,Ankle,IR
Talanoa Hufanga,SF,S,Knee,Doubtful
Lil'Jordan Humphrey,NO,WR,Illness,Questionable
Marlon Humphrey,BAL,CB,Pectoral,IR
D.J. Humphries,ARI,OT,Illness,Reserve-Covid-19
Kareem Hunt,CLE,RB,Ankle,Questionable
Danielle Hunter,MIN,DE,Pectoral,IR
Jalen Hurd,FA,WR,Knee,Out
Allen Hurns,MIA,WR,Wrist,IR
Maurice Hurst,SF,DT,Calf,Out
Hayden Hurst,ATL,TE,Illness,Reserve-Covid-19
Sadarius Hutcherson,TB,OG,Knee - MCL,IR
Mitch Hyatt,DAL,OT,Knee,IR
Carlos Hyde,JAX,RB,Concussion,IR
Noah Igbinoghene,MIA,CB,Undisclosed,Reserve-Covid-19
George Iloka,FA,S,Knee - ACL,Questionable
Richie Incognito,LV,OG,Calf,IR
Alec Ingold,LV,FB,Knee - ACL,IR
Mark Ingram,NO,RB,Knee,Questionable
Isaiah Irving,FA,LB,Back,Questionable
Trenton Irwin,CIN,WR,Illness,Reserve-Covid-19
Thomas Ives,FA,WR,Undisclosed,Questionable
Joel Iyiegbuniwe,CHI,LB,Undisclosed,Reserve-Covid-19
Adoree' Jackson,NYG,CB,Quadriceps,Questionable
Donte Jackson,CAR,CB,Groin,IR
Lamar Jackson,BAL,QB,Ankle,Questionable
J.C. Jackson,NE,CB,Elbow,Questionable
Malik Jackson,CLE,DT,Knee,Questionable
Kareem Jackson,DEN,S,Back,Questionable
William Jackson,WAS,CB,Calf,Out
Branden Jackson,FA,DE,Spine,Questionable
Leon Jacobs,FA,LB,Knee - ACL,Questionable
Jerry Jacobs,DET,CB,Knee - ACL,IR
Richie James,SF,WR,Knee,IR
Ja'Wuan James,BAL,OT,Achilles,NFI-R
Blake Jarwin,DAL,TE,Hip,IR
Malik Jefferson,IND,LB,Undisclosed,Reserve-Covid-19
Jalen Jelks,WAS,DE,Undisclosed,IR
Elgton Jenkins,GB,OG,Undisclosed,Reserve-Covid-19
Rayshawn Jenkins,JAX,S,Ankle,IR
John Jenkins,MIA,DT,Illness,Reserve-Covid-19
Anfernee Jennings,NE,LB,Undisclosed,IR
Jerry Jeudy,DEN,WR,Illness,Reserve-Covid-19
Josey Jewell,DEN,LB,Pectoral,IR
Rysen John,NYG,TE,Ankle,IR
Lonnie Johnson,HOU,CB,Illness,Reserve-Covid-19
Darryl Johnson,CAR,DE,Undisclosed,Reserve-Covid-19
Collin Johnson,NYG,WR,Hamstring,Out
Buddy Johnson,PIT,LB,Foot,Out
John Johnson,CLE,S,Hamstring,Out
Bisi Johnson,MIN,WR,Knee,IR
KeeSean Johnson,FA,WR,Undisclosed,Out
Alexander Johnson,DEN,LB,Pectoral,IR
Austin Johnson,NYG,DT,Foot,Questionable
Marcus Johnson,TEN,WR,Hamstring,IR
David Johnson,HOU,RB,Undisclosed,Reserve-Covid-19
Julio Jones,TEN,WR,Illness,Reserve-Covid-19
Chris Jones,FA,P,Abdomen,Questionable
Jonathan Jones,NE,CB,Shoulder,IR
Sidney Jones,SEA,CB,Undisclosed,Reserve-Covid-19
Xavier Jones,LAR,RB,Achilles,IR
Dre'Mont Jones,DEN,DE,Foot,Questionable
Daniel Jones,NYG,QB,Neck,IR
Brett Jones,DEN,C,Biceps,IR
Ernest Jones,LAR,LB,Ankle,IR
Brandon Jones,MIA,S,Illness,Questionable
Patrick Jones,MIN,DE,Undisclosed,Reserve-Covid-19
Dion Jordan,FA,DE,Knee,Questionable
Sebastian Joseph-Day,LAR,DT,Pectoral,IR
Lamarcus Joyner,NYJ,S,Triceps,IR
Joshua Kaindoh,KC,DE,Ankle,IR-R
Josh Kalu,NYG,S,Pectoral,IR
Matt Kaskey,FA,OT,Foot,Questionable
Dalton Keene,NE,TE,Knee - Meniscus,IR
Kingsley Keke,GB,DE,Undisclosed,Reserve-Covid-19
Xavier Kelly,BAL,DT,Achilles,IR
Brandon Kemp,TEN,OT,Undisclosed,IR
Devon Kennard,ARI,LB,Undisclosed,Reserve-Covid-19
Adrian Killins,DEN,WR,Ankle,IR
Brandon King,NE,S,Illness,Reserve-Covid-19
Javon Kinlaw,SF,DT,Knee - ACL,IR
Dre Kirkpatrick,FA,CB,Ankle,Questionable
Brandon Knight,BAL,OT,Undisclosed,Reserve-DNR
Tanoh Kpassagnon,NO,DE,Ankle,IR
Tyler Kroft,NYJ,TE,Illness,Reserve-Covid-19
Nick Kwiatkoski,LV,LB,Ankle,IR
Bruno Labelle,FA,TE,Undisclosed,Questionable
Patrick Laird,MIA,RB,Knee - MCL,IR
Dayan Lake,FA,CB,Undisclosed,Questionable
Kendall Lamm,TEN,OT,Illness,Reserve-Covid-19
Chris Lammons,KC,CB,Ankle,IR
Tyler Lancaster,GB,DE,Back,Questionable
Harvey Langi,NE,LB,Knee,IR
Tyler Larsen,WAS,C,Achilles,IR
Ted Larsen,FA,OG,Knee,Questionable
Cody Latimer,FA,WR,Personal,Reserve-CEL
Dexter Lawrence,NYG,DE,Illness,Reserve-Covid-19
Carl Lawson,NYJ,DE,Achilles,IR
Darron Lee,FA,LB,Undisclosed,Questionable
Elijah Lee,CLE,LB,Illness,Reserve-Covid-19
Shane Lemieux,NYG,OG,Knee,IR
Tyquan Lewis,IND,DE,Knee,IR
Tommylee Lewis,FA,WR,Hip,Out
Ryan Lewis,FA,CB,Hamstring,Questionable
Alex Lewis,FA,OG,Head,Reserve-Ret
Damien Lewis,SEA,OG,Illness,Reserve-Covid-19
Zane Lewis,NYJ,S,Undisclosed,Reserve-Covid-19
Brandon Linder,JAX,C,Illness,Reserve-Covid-19
Greg Little,MIA,OT,Undisclosed,IR-R
Damon Lloyd,LAC,LB,Illness,Reserve-Covid-19
Bryce Love,FA,RB,Knee,Questionable
John Lovett,FA,TE,Knee - ACL,Questionable
Jordan Lucas,FA,S,Knee,Out
Wil Lutz,NO,K,Illness,Reserve-Covid-19
Dylan Mabin,FA,CB,Undisclosed,Out
Khalil Mack,CHI,LB,Foot,IR
Cole Madison,FA,OG,Knee - ACL,Questionable
Cassius Marsh,CHI,LB,Knee,IR
Iman Marshall,BAL,CB,Knee,IR
Justin Martin,FA,CB,Knee,Questionable
Marcus Martin,FA,C,Undisclosed,Questionable
Blake Martinez,NYG,LB,Knee - ACL,IR
Bobby Massie,DEN,OT,Illness,Reserve-Covid-19
Arthur Maulet,PIT,CB,Undisclosed,Reserve-Covid-19
Marcus Maye,NYJ,S,Achilles,IR
